name,grade,date
Superfly,V4,"2025-07-25"
Superfly,V4,"2025-06-28"
Superfly,V4,"2025-06-24"
Superfly,V4,"2025-06-09"
Superfly,V4,"2025-06-03"
Superfly,V4,"2025-05-24"
Superfly,V4,"2025-05-21"
Superfly,V4,"2025-05-16"
Superfly,V4,"2025-05-15"
Superfly,V4,"2025-05-07"
Superfly,V4,"2025-04-30"
Superfly,V4,"2025-04-30"
Superfly,V4,"2025-04-30"
Superfly,V4,"2025-04-21"
Superfly,V4,"2025-04-14"
Superfly,V4,"2025-04-04"
Superfly,V4,"2025-02-19"
Superfly,V4,"2025-01-24"
Superfly,V4,"2024-10-12"
Superfly,V4,"2024-09-20"
Superfly,V4,"2024-09-20"
Superfly,V4,"2024-09-19"
Superfly,V4,"2024-09-15"
Superfly,V4,"2024-09-05"
Superfly,V4,"2024-09-02"
Superfly,V4,"2024-08-30"
Superfly,V4,"2024-08-19"
Superfly,V4,"2024-08-04"
Superfly,V4,"2024-08-04"
Superfly,V4,"2024-08-04"
Superfly,V4,"2024-08-04"
Superfly,V4,"2024-07-29"
Superfly,V4,"2024-07-25"
Superfly,V4,"2024-07-24"
Superfly,V4,"2024-07-24"
Superfly,V4,"2024-07-23"
Superfly,V4,"2024-07-23"
Superfly,V4,"2024-07-22"
Superfly,V4,"2024-07-21"
Superfly,V4,"2024-07-16"
Superfly,V4,"2024-07-11"
Superfly,V4,"2024-07-02"
Superfly,V4,"2024-07-01"
Superfly,V4,"2024-07-01"
Superfly,V4,"2024-06-30"
Superfly,V4,"2024-06-30"
Superfly,V4,"2024-06-30"
Superfly,V4,"2024-06-22"
Superfly,V4,"2024-06-20"
Superfly,V4,"2024-06-14"
Superfly,V4,"2024-06-12"
Superfly,V4,"2024-06-09"
Superfly,V4,"2024-06-01"
Superfly,V4,"2024-05-26"
Superfly,V4,"2024-05-25"
Superfly,V4,"2024-05-19"
Superfly,V4,"2024-05-18"
Superfly,V4,"2024-05-04"
Superfly,V4,"2024-05-01"
Superfly,V4,"2024-04-22"
Superfly,V4,"2024-04-09"
Superfly,V4,"2024-02-23"
Superfly,V4,"2024-02-19"
Superfly,V4,"2024-02-18"
Superfly,V4,"2023-11-21"
Superfly,V4,"2023-10-05"
Superfly,V4,"2023-09-20"
Superfly,V4,"2023-09-18"
Superfly,V4,"2023-09-17"
Superfly,V4,"2023-09-14"
Superfly,V4,"2023-09-14"
Superfly,V4,"2023-09-11"
Superfly,V4,"2023-09-08"
Superfly,V4,"2023-09-04"
Superfly,V4,"2023-09-02"
Superfly,V4,"2023-08-20"
Superfly,V4,"2023-08-19"
Superfly,V4,"2023-08-18"
Superfly,V4,"2023-08-10"
Superfly,V4,"2023-08-09"
Superfly,V4,"2023-07-28"
Superfly,V4,"2023-07-26"
Superfly,V4,"2023-07-11"
Superfly,V4,"2023-07-04"
Superfly,V4,"2023-06-23"
Superfly,V4,"2023-06-20"
Superfly,V4,"2023-06-13"
Superfly,V4,"2023-06-03"
Superfly,V4,"2023-06-02"
Superfly,V4,"2023-06-01"
Superfly,V4,"2023-06-01"
Superfly,V4,"2023-05-30"
Superfly,V4,"2023-05-29"
Superfly,V4,"2023-05-25"
Superfly,V4,"2023-05-25"
Superfly,V4,"2023-05-23"
Superfly,V4,"2023-05-21"
Superfly,V4,"2023-05-19"
Superfly,V4,"2023-05-17"
Superfly,V4,"2023-05-15"
Superfly,V4,"2023-05-13"
Superfly,V4,"2023-05-08"
Superfly,V4,"2023-04-30"
Superfly,V4,"2023-04-13"
Superfly,V4,"2023-03-27"
Superfly,V4,"2023-02-12"
Superfly,V4,"2023-01-24"
Superfly,V4,"2022-11-01"
Superfly,V4,"2022-10-20"
Superfly,V4,"2022-10-12"
Superfly,V4,"2022-10-07"
Superfly,V4,"2022-10-03"
Superfly,V4,"2022-10-02"
Superfly,V4,"2022-09-19"
Superfly,V4,"2022-09-17"
Superfly,V4,"2022-09-15"
Superfly,V4,"2022-09-11"
Superfly,V4,"2022-09-10"
Superfly,V4,"2022-09-08"
Superfly,V4,"2022-09-04"
Superfly,V4,"2022-09-04"
Superfly,V4,"2022-09-04"
Superfly,V4,"2022-09-02"
Superfly,V4,"2022-08-28"
Superfly,V4,"2022-08-27"
Superfly,V4,"2022-08-20"
Superfly,V4,"2022-08-19"
Superfly,V4,"2022-08-16"
Superfly,V4,"2022-08-14"
Superfly,V4,"2022-08-13"
Superfly,V4,"2022-08-12"
Superfly,V4,"2022-08-11"
Superfly,V4,"2022-08-11"
Superfly,V4,"2022-08-10"
Superfly,V4,"2022-08-04"
Superfly,V4,"2022-08-03"
Superfly,V4,"2022-08-03"
Superfly,V4,"2022-08-02"
Superfly,V4,"2022-07-29"
Superfly,V4,"2022-07-28"
Superfly,V4,"2022-07-26"
Superfly,V4,"2022-07-24"
Superfly,V4,"2022-07-24"
Superfly,V4,"2022-07-20"
Superfly,V4,"2022-07-18"
Superfly,V4,"2022-07-15"
Superfly,V4,"2022-07-13"
Superfly,V4,"2022-07-11"
Superfly,V4,"2022-07-02"
Superfly,V4,"2022-07-02"
Superfly,V4,"2022-07-01"
Superfly,V4,"2022-06-28"
Superfly,V4,"2022-06-28"
Superfly,V4,"2022-06-26"
Superfly,V4,"2022-06-17"
Superfly,V4,"2022-06-13"
Superfly,V4,"2022-06-07"
Superfly,V4,"2022-05-28"
Superfly,V4,"2022-05-28"
Superfly,V4,"2022-05-19"
Superfly,V4,"2022-05-17"
Superfly,V4,"2022-05-16"
Superfly,V4,"2022-05-16"
Superfly,V4,"2022-05-10"
Superfly,V4,"2022-05-02"
Superfly,V4,"2022-04-30"
Superfly,V4,"2022-04-15"
Superfly,V4,"2022-04-11"
Superfly,V4,"2022-04-06"
Superfly,V4,"2022-03-08"
Superfly,V4,"2022-03-06"
Superfly,V4,"2021-12-03"
Superfly,V4,"2021-11-26"
Superfly,V4,"2021-09-25"
Superfly,V4,"2021-09-03"
Superfly,V4,"2021-08-31"
Superfly,V4,"2021-08-31"
Superfly,V4,"2021-08-21"
Superfly,V4,"2021-08-20"
Superfly,V4,"2021-08-19"
Superfly,V4,"2021-08-14"
Superfly,V4,"2021-07-26"
Superfly,V4,"2021-07-17"
Superfly,V4,"2021-07-17"
Superfly,V4,"2021-07-15"
Superfly,V4,"2021-07-09"
Superfly,V4,"2021-07-09"
Superfly,V4,"2021-07-09"
Superfly,V4,"2021-06-22"
Superfly,V4,"2021-06-19"
Superfly,V4,"2021-06-03"
Superfly,V4,"2021-05-27"
Superfly,V4,"2021-05-23"
