date,temperature,humidity,wind_speed
2025-07-25,18.8,81.0,7.5
2025-06-28,19.4,66.0,3.0
2025-06-24,24.1,49.0,4.1
2025-06-09,29.2,43.0,5.7
2025-06-03,20.9,58.0,6.3
2025-05-24,20.5,51.0,2.2
2025-05-21,13.5,69.0,1.5
2025-05-16,10.5,88.0,2.7
2025-05-15,11.7,84.0,4.9
2025-05-07,13.6,75.0,5.1
2025-04-30,13.6,57.0,0.0
2025-04-21,10.0,66.0,3.0
2025-04-14,12.5,50.0,2.8
2025-04-04,13.7,41.0,0.5
2025-02-19,6.7,90.0,3.1
2025-01-24,0.9,54.0,2.7
2024-10-12,21.1,46.0,4.3
2024-09-20,16.9,71.0,6.2
2024-09-19,19.0,61.0,5.4
2024-09-15,19.0,59.0,2.4
2024-09-05,32.1,38.0,4.0
2024-09-02,26.3,55.0,5.6
2024-08-30,28.3,48.0,0.7
2024-08-19,22.8,52.0,4.7
2024-08-04,28.9,47.0,6.8
2024-07-29,17.9,99.0,5.6
2024-07-25,20.5,55.0,6.2
2024-07-24,21.6,54.0,7.3
2024-07-23,19.2,69.0,5.8
2024-07-22,22.3,73.0,9.2
2024-07-21,32.2,36.0,8.2
2024-07-16,32.1,36.0,1.8
2024-07-11,27.5,51.0,6.2
2024-07-02,20.6,65.0,7.3
2024-07-01,22.1,63.0,6.1
2024-06-30,21.0,74.0,6.3
2024-06-22,21.6,51.0,6.3
2024-06-20,26.4,31.0,2.3
2024-06-14,12.4,85.0,3.8
2024-06-12,16.3,60.0,4.9
2024-06-09,24.9,43.0,6.5
2024-06-01,15.9,79.0,3.2
2024-05-26,9.6,99.0,4.2
2024-05-25,13.5,74.0,6.5
2024-05-19,15.5,58.0,4.4
2024-05-18,9.1,100.0,4.6
2024-05-04,21.1,38.0,4.4
2024-05-01,12.5,51.0,3.3
2024-04-22,14.5,35.0,2.3
2024-04-09,9.5,58.0,4.3
2024-02-23,8.8,83.0,1.1
2024-02-19,8.0,71.0,6.2
2024-02-18,8.6,46.0,3.5
2023-11-21,8.7,69.0,2.6
2023-10-05,20.6,68.0,1.8
2023-09-20,18.4,53.0,6.1
2023-09-18,18.2,54.0,2.0
2023-09-17,19.7,53.0,5.2
2023-09-14,24.9,43.0,1.8
2023-09-11,19.2,82.0,2.9
2023-09-08,22.6,51.0,2.0
2023-09-04,20.4,62.0,6.1
2023-09-02,29.3,42.0,4.3
2023-08-20,28.0,23.0,4.4
2023-08-19,26.5,33.0,6.8
2023-08-18,22.8,43.0,6.7
2023-08-10,20.2,79.0,4.6
2023-08-09,18.7,97.0,4.8
2023-07-28,25.9,54.0,4.2
2023-07-26,20.4,63.0,1.3
2023-07-11,21.7,64.0,4.0
2023-07-04,29.8,26.0,5.5
2023-06-23,26.8,41.0,5.0
2023-06-20,16.7,68.0,3.1
2023-06-13,19.1,78.0,7.7
2023-06-03,22.2,42.0,7.1
2023-06-02,21.5,43.0,6.4
2023-06-01,20.1,47.0,2.3
2023-05-30,16.7,59.0,7.0
2023-05-29,20.1,63.0,7.9
2023-05-25,24.9,46.0,0.8
2023-05-23,14.1,76.0,3.7
2023-05-21,17.7,81.0,7.8
2023-05-19,26.6,51.0,3.3
2023-05-17,27.7,57.0,2.1
2023-05-15,31.2,29.0,3.1
2023-05-13,24.0,30.0,5.9
2023-05-08,17.1,42.0,0.8
2023-04-30,13.5,72.0,5.7
2023-04-13,6.5,79.0,3.2
2023-03-27,8.2,60.0,4.0
2023-02-12,5.3,94.0,3.6
2023-01-24,4.4,89.0,0.8
2022-11-01,7.5,76.0,2.2
2022-10-20,18.6,76.0,4.4
2022-10-12,22.7,46.0,3.6
2022-10-07,26.6,40.0,4.3
2022-10-03,26.7,42.0,1.6
2022-10-02,27.2,38.0,2.5
2022-09-19,23.6,39.0,5.6
2022-09-17,18.0,52.0,4.7
2022-09-15,18.3,87.0,3.6
2022-09-11,28.5,33.0,2.0
2022-09-10,30.0,28.0,3.2
2022-09-08,23.8,33.0,2.9
2022-09-04,17.7,100.0,4.7
2022-09-02,32.4,29.0,2.7
2022-08-28,20.2,66.0,5.4
2022-08-27,21.1,61.0,3.8
2022-08-20,28.8,54.0,3.8
2022-08-19,31.1,40.0,0.8
2022-08-16,28.0,43.0,2.4
2022-08-14,25.1,50.0,4.1
2022-08-13,17.7,90.0,4.4
2022-08-12,29.0,40.0,6.9
2022-08-11,27.2,51.0,5.1
2022-08-10,28.8,58.0,4.7
2022-08-04,18.3,72.0,5.3
2022-08-03,20.5,70.0,7.6
2022-08-02,22.7,66.0,7.0
2022-07-29,34.9,32.0,5.1
2022-07-28,34.6,44.0,3.3
2022-07-26,35.6,32.0,3.3
2022-07-24,28.1,57.0,4.7
2022-07-20,27.1,55.0,4.4
2022-07-18,19.2,79.0,6.6
2022-07-15,19.3,75.0,6.1
2022-07-13,23.4,56.0,7.4
2022-07-11,26.7,50.0,1.8
2022-07-02,25.2,56.0,3.9
2022-07-01,23.1,61.0,5.4
2022-06-28,17.2,80.0,7.6
2022-06-26,30.5,34.0,3.7
2022-06-17,22.4,39.0,5.2
2022-06-13,16.6,57.0,9.3
2022-06-07,24.3,40.0,2.5
2022-05-28,14.8,61.0,1.9
2022-05-19,11.8,52.0,3.9
2022-05-17,10.8,60.0,4.9
2022-05-16,11.6,66.0,7.0
2022-05-10,9.9,69.0,4.3
2022-05-02,14.1,58.0,1.8
2022-04-30,10.5,68.0,3.0
2022-04-15,7.0,50.0,5.2
2022-04-11,8.7,36.0,5.9
2022-04-06,9.2,55.0,4.0
2022-03-08,8.6,43.0,5.1
2022-03-06,12.0,38.0,1.1
2021-12-03,1.3,71.0,2.5
2021-11-26,7.3,94.0,4.0
2021-09-25,23.7,51.0,4.0
2021-09-03,21.9,47.0,1.1
2021-08-31,14.9,71.0,3.7
2021-08-21,23.4,59.0,6.0
2021-08-20,20.3,88.0,4.4
2021-08-19,22.2,74.0,3.6
2021-08-14,31.4,42.0,5.8
2021-07-26,26.6,51.0,7.0
2021-07-17,19.0,75.0,4.8
2021-07-15,20.9,77.0,6.5
2021-07-09,27.1,56.0,2.6
2021-06-22,27.0,56.0,7.6
2021-06-19,21.1,67.0,6.8
2021-06-03,24.4,54.0,7.9
2021-05-27,11.4,100.0,4.2
2021-05-23,17.4,71.0,5.7
2021-04-17,23.2,17.0,0.4
2021-04-16,22.8,17.0,0.8
2021-04-13,13.7,25.0,4.7
2021-03-13,10.0,59.0,4.7
2021-01-22,0.4,67.0,4.5
2020-12-05,4.9,59.0,6.4
2020-10-30,10.1,84.0,6.3
2020-10-25,6.1,25.0,1.4
2020-09-19,16.9,100.0,4.7
2020-09-12,25.0,55.0,3.4
2020-09-10,31.3,37.0,1.5
2020-09-07,24.1,36.0,8.6
2020-09-04,29.7,45.0,1.8
2020-08-31,18.6,70.0,3.5
2020-08-30,17.7,69.0,3.2
2020-08-29,20.9,57.0,5.3
2020-08-26,23.1,57.0,3.1
2020-08-24,20.8,64.0,2.5
2020-08-19,24.9,53.0,4.6
2020-08-18,26.4,57.0,9.0
2020-08-16,33.3,34.0,0.5
2020-08-13,20.3,57.0,6.7
2020-08-12,18.1,63.0,6.1
2020-08-08,18.9,72.0,3.3
2020-08-04,27.4,49.0,2.0
2020-08-03,22.8,71.0,6.0
2020-07-30,33.1,30.0,2.6
2020-07-29,27.8,45.0,2.8
2020-07-25,23.0,54.0,2.3
2020-07-21,27.2,56.0,6.3
2020-07-20,31.1,48.0,2.3
2020-07-15,25.1,62.0,5.9
2020-07-13,20.6,54.0,4.0
2020-07-12,17.9,89.0,5.8
2020-07-06,21.0,57.0,5.1
2020-07-05,22.0,51.0,3.1
2020-07-04,18.3,60.0,2.7
2020-06-29,24.3,58.0,7.4
2020-06-26,24.4,58.0,7.5
2020-06-20,17.5,99.0,4.9
2020-05-18,19.5,45.0,2.2
2020-03-18,9.5,53.0,4.7
2019-11-18,7.8,100.0,1.8
2019-10-09,9.5,28.0,3.0
2019-10-02,13.8,66.0,3.4
2019-09-28,13.1,48.0,8.0
2019-09-21,16.9,80.0,2.8
2019-09-20,17.3,78.0,1.9
2019-08-29,27.1,50.0,4.5
2019-08-27,27.7,46.0,1.5
2019-08-26,23.1,55.0,1.3
2019-08-24,18.7,79.0,6.5
2019-08-20,25.7,52.0,3.6
2019-08-19,19.6,82.0,5.8
2019-08-15,25.7,56.0,4.8
2019-08-13,25.0,50.0,4.7
2019-08-05,30.0,40.0,3.3
2019-07-25,24.3,53.0,3.8
2019-07-20,24.1,47.0,1.1
2019-07-12,24.0,52.0,3.1
2019-07-03,19.7,77.0,6.5
2019-06-29,17.0,75.0,2.4
2019-05-25,14.9,99.0,4.0
2019-05-18,19.6,41.0,6.4
2019-05-15,20.1,47.0,5.5
2019-05-06,22.1,47.0,5.0
2019-05-04,19.3,53.0,4.6
2019-05-03,13.7,68.0,4.0
2019-05-01,16.0,41.0,7.7
2019-04-27,11.8,47.0,5.2
2019-03-20,19.7,27.0,5.2
2019-03-03,-0.7,42.0,4.0
2019-03-02,2.4,54.0,4.0
2019-03-01,3.2,56.0,3.6
2019-02-24,1.6,59.0,4.7
2019-01-26,6.3,58.0,2.2
2018-12-20,7.0,88.0,4.0
2018-12-03,4.7,48.0,4.3
2018-10-06,15.6,49.0,1.3
2018-10-01,12.2,100.0,3.1
2018-09-29,18.5,47.0,5.8
2018-09-24,17.4,65.0,0.5
2018-09-03,20.7,55.0,4.0
2018-09-02,21.4,52.0,5.2
2018-09-01,19.5,60.0,4.7
2018-08-30,18.3,84.0,5.6
2018-08-28,24.7,48.0,5.2
2018-08-23,19.9,76.0,6.3
2018-08-11,20.8,87.0,5.1
2018-08-09,33.4,31.0,5.1
2018-07-22,28.5,40.0,0.8
2018-07-15,30.5,31.0,2.1
2018-07-10,19.7,74.0,5.4
2018-07-08,24.6,51.0,2.6
2018-07-06,19.6,88.0,5.0
2018-07-05,26.0,54.0,5.6
2018-07-03,20.8,60.0,4.4
2018-07-02,18.6,50.0,4.1
2018-07-01,19.6,82.0,7.3
2018-06-27,19.7,59.0,8.0
2018-06-23,21.3,66.0,4.9
2018-06-20,30.0,46.0,5.1
2018-06-09,15.4,61.0,7.2
2018-06-01,15.2,53.0,8.4
2018-05-29,15.8,60.0,7.5
2018-05-12,26.7,29.0,5.4
2018-04-27,26.2,14.0,2.8
2018-04-26,24.6,21.0,3.6
2018-04-22,12.1,40.0,2.2
2018-04-15,11.5,47.0,0.4
2018-04-11,8.0,85.0,2.7
2018-04-06,11.3,78.0,2.7
2018-04-01,6.8,54.0,5.8
2018-03-24,6.6,65.0,3.1
2018-03-17,11.5,46.0,2.8
2018-03-11,13.1,39.0,3.7
2017-12-03,5.3,74.0,1.1
2017-10-11,9.4,91.0,1.3
2017-10-08,14.6,60.0,1.0
2017-09-25,18.0,84.0,3.2
2017-09-03,31.7,38.0,2.2
2017-08-26,25.7,44.0,2.2
2017-08-24,20.9,49.0,5.9
2017-08-23,25.1,53.0,6.2
2017-08-21,26.8,48.0,0.5
2017-08-14,20.8,54.0,5.4
2017-08-07,32.9,38.0,3.5
2017-08-05,33.4,26.0,4.1
2017-07-31,29.0,31.0,2.1
2017-07-27,22.0,70.0,7.3
2017-07-25,29.2,39.0,4.6
2017-07-17,24.3,36.0,1.9
2017-07-15,22.3,51.0,9.3
2017-07-07,26.2,51.0,10.3
2017-07-06,30.5,27.0,3.3
2017-07-03,19.4,69.0,5.4
2017-06-22,22.2,40.0,2.7
2017-06-19,22.2,66.0,2.7
2017-06-09,14.7,59.0,3.4
2017-05-27,26.9,39.0,3.5
2017-05-26,24.9,44.0,4.5
2017-05-25,22.1,43.0,0.8
2017-05-23,24.7,48.0,9.9
2017-05-22,28.3,26.0,2.6
2017-05-20,23.3,44.0,0.4
2017-05-17,10.5,82.0,5.6
2017-05-10,20.7,44.0,6.6
2017-05-09,18.7,43.0,5.3
2017-05-06,13.1,42.0,6.0
2017-01-03,-9.9,60.0,6.3
2016-11-11,15.0,100.0,3.9
2016-09-10,18.9,72.0,4.2
2016-09-04,18.7,67.0,3.3
2016-08-28,17.6,80.0,10.2
